Description,Item#,Seg,Seq#,Len,DT,Rep,Table,Chapter
Manufacturer Identifier ,00286,INV,17,250,CE,,0385,13.4.4.17
Supplier Identifier ,01389,INV,18,250,CE,,0386,13.4.4.18
On Board Stability Time ,01626,INV,19,20,CQ,,,13.4.4.19
Target Value ,01896,INV,20,20,CQ,,,13.4.4.20
Accession Identifier ,01330,IPC,1,80,EI,,,4.5.6.1
Requested Procedure ID ,01658,IPC,2,22,EI,,,4.5.6.2
Study Instance UID ,01659,IPC,3,70,EI,,,4.5.6.3
Scheduled Procedure Step ID ,01660,IPC,4,22,EI,,,4.5.6.4
Modality ,01661,IPC,5,16,CE,,,4.5.6.5
Protocol Code ,01662,IPC,6,250,CE,Y,,4.5.6.6
Scheduled Station Name ,01663,IPC,7,22,EI,,,4.5.6.7
Scheduled Procedure Step Location ,01664,IPC,8,250,CE,Y,,4.5.6.8
Scheduled AE Title ,01665,IPC,9,16,ST,,,4.5.6.9
Reference Interaction Number (unique identifier),01326,ISD,1,20,NM,,,13.4.2.1
Interaction Type Identifier ,01327,ISD,2,250,CE,,0368,13.4.2.2
Interaction Active State ,01328,ISD,3,250,CE,,0387,13.4.2.3
Set ID - LAN ,01455,LAN,1,60,SI,,,15.4.4.1
Language Code ,01456,LAN,2,250,CE,,0296,15.4.4.2
Language Ability Code ,01457,LAN,3,250,CE,Y,0403,15.4.4.3
Language Proficiency Code ,01458,LAN,4,250,CE,,0404,15.4.4.4
Primary Key Value - LCC ,00979,LCC,1,200,PL,,,8.9.6.1
Location Department ,00964,LCC,2,250,CE,,0264,8.9.6.2
Accommodation Type ,00980,LCC,3,250,CE,Y,0129,8.9.6.3
Charge Code ,00981,LCC,4,250,CE,Y,0132,8.9.6.4
Primary Key Value - LCH ,01305,LCH,1,200,PL,,,8.9.3.1
Segment Action Code ,00763,LCH,2,3,ID,,0206,8.9.3.2
Segment Unique Key ,00764,LCH,3,80,EI,,,8.9.3.3
Location Characteristic ID ,01295,LCH,4,250,CE,,0324,8.9.3.4
Location Characteristic Value-LCH ,01294,LCH,5,250,CE,,0136,8.9.3.5
Primary Key Value - LDP ,00963,LDP,1,200,PL,,,8.9.5.1
Location Department ,00964,LDP,2,250,CE,,0264,8.9.5.2
Location Service ,00965,LDP,3,3,IS,Y,0069,8.9.5.3
Specialty Type ,00966,LDP,4,250,CE,Y,0265,8.9.5.4
Valid Patient Classes ,00967,LDP,5,1,IS,Y,0004,8.9.5.5
Active/Inactive Flag ,00675,LDP,6,1,ID,,0183,8.9.5.6
Activation Date LDP ,00969,LDP,7,26,TS,,,8.9.5.7
Inactivation Date - LDP ,00970,LDP,8,26,TS,,,8.9.5.8
Inactivated Reason ,00971,LDP,9,80,ST,,,8.9.5.9
Visiting Hours ,00976,LDP,10,80,VH,Y,0267,8.9.5.10
Contact Phone ,00978,LDP,11,250,XTN,,,8.9.5.11
Location Cost Center ,01584,LDP,12,250,CE,,0462,8.9.5.12
Primary Key Value - LOC ,01307,LOC,1,200,PL,,,8.9.2.1
Location Description ,00944,LOC,2,48,ST,,,8.9.2.2
Location Type - LOC ,00945,LOC,3,2,IS,Y,0260,8.9.2.3
Organization Name - LOC ,00947,LOC,4,250,XON,Y,,8.9.2.4
Location Address ,00948,LOC,5,250,XAD,Y,,8.9.2.5
Location Phone ,00949,LOC,6,250,XTN,Y,,8.9.2.6
License Number ,00951,LOC,7,250,CE,Y,0461,8.9.2.7
Location Equipment ,00953,LOC,8,3,IS,Y,0261,8.9.2.8
Location Service Code ,01583,LOC,9,1,IS,,0442,8.9.2.9
Primary Key Value - LRL ,00943,LRL,1,200,PL,,,8.9.4.1
Segment Action Code ,00763,LRL,2,3,ID,,0206,8.9.4.2
Segment Unique Key ,00764,LRL,3,80,EI,,,8.9.4.3
Location Relationship ID ,01277,LRL,4,250,CE,,0325,8.9.4.4
Organizational Location Relationship Value ,01301,LRL,5,250,XON,Y,,8.9.4.5
Patient Location Relationship Value ,01292,LRL,6,80,PL,,,8.9.4.6
Record-Level Event Code ,00664,MFA,1,3,ID,,0180,8.5.3.1
MFN Control ID ,00665,MFA,2,20,ST,,,8.5.3.2
Event Completion Date/Time ,00668,MFA,3,26,TS,,,8.5.3.3
MFN Record Level Error Return ,00669,MFA,4,250,CE,,0181,8.5.3.4
Primary Key Value - FA ,01308,MFA,5,0,var,Y,9999,8.5.3.5.5
Primary Key Value Type - MFA ,01320,MFA,6,3,ID,Y,0355,8.5.3.6
Record-Level Event Code ,00664,MFE,1,3,ID,,0180,8.5.2.1
MFN Control ID ,00665,MFE,2,20,ST,,,8.5.2.2
Effective Date/Time ,00662,MFE,3,26,TS,,,8.5.2.3
Primary Key Value - MFE ,00667,MFE,4,0,var,Y,9999,8.5.2.4.4
Primary Key Value Type ,01319,MFE,5,3,ID,Y,0355,8.5.2.5
Master File Identifier ,00658,MFI,1,250,CE,,0175,8.5.1.1
Master File Application Identifier ,00659,MFI,2,180,HD,,0361,8.5.1.2
File-Level Event Code ,00660,MFI,3,3,ID,,0178,8.5.1.3
Entered Date/Time ,00661,MFI,4,26,TS,,,8.5.1.4
Effective Date/Time ,00662,MFI,5,26,TS,,,8.5.1.5
Response Level Code ,00663,MFI,6,2,ID,,0179,8.5.1.6
Prior Patient Identifier List ,00211,MRG,1,250,CX,Y,,3.4.9.1
Prior Alternate Patient ID ,00212,MRG,2,250,CX,Y,,3.4.9.2
Prior Patient Account Number ,00213,MRG,3,250,CX,,,3.4.9.3
Prior Patient ID ,00214,MRG,4,250,CX,,,3.4.9.4
Prior Visit Number ,01279,MRG,5,250,CX,,,3.4.9.5
Prior Alternate Visit ID ,01280,MRG,6,250,CX,,,3.4.9.6
Prior Patient Name ,01281,MRG,7,250,XPN,Y,,3.4.9.7
Acknowledgment Code ,00018,MSA,1,2,ID,,0008,2.15.8.1
Message Control ID ,00010,MSA,2,20,ST,,,2.15.8.2
Text Message ,00020,MSA,3,80,ST,,,2.15.8.3
Expected Sequence Number ,00021,MSA,4,15,NM,,,2.15.8.4
Delayed Acknowledgment Type ,00022,MSA,5,0,ST,,,2.15.8.5.5
Error Condition ,00023,MSA,6,250,CE,,0357,2.15.8.6
Field Separator ,00001,MSH,1,1,ST,,,2.15.9.1
Encoding Characters ,00002,MSH,2,4,ST,,,2.15.9.2
Sending Application ,00003,MSH,3,227,HD,,0361,2.15.9.3
Sending Facility ,00004,MSH,4,227,HD,,0362,2.15.9.4
Receiving Application ,00005,MSH,5,227,HD,,0361,2.15.9.5
Receiving Facility ,00006,MSH,6,227,HD,,0362,2.15.9.6
Date/Time Of Message ,00007,MSH,7,26,TS,,,2.15.9.7
Security ,00008,MSH,8,40,ST,,,2.15.9.8
Message Type ,00009,MSH,9,15,MSG,,,2.15.9.9
Message Control ID ,00010,MSH,10,20,ST,,,2.15.9.10
Processing ID ,00011,MSH,11,3,PT,,,2.15.9.11
Version ID ,00012,MSH,12,60,VID,,,2.15.9.12
Sequence Number ,00013,MSH,13,15,NM,,,2.15.9.13
Continuation Pointer ,00014,MSH,14,180,ST,,,2.15.9.14
Accept Acknowledgment Type ,00015,MSH,15,2,ID,,0155,2.15.9.15
Application Acknowledgment Type ,00016,MSH,16,2,ID,,0155,2.15.9.16
Country Code ,00017,MSH,17,3,ID,,0399,2.15.9.17
Character Set ,00692,MSH,18,16,ID,Y,0211,2.15.9.18
Principal Language Of Message ,00693,MSH,19,250,CE,,,2.15.9.19
Alternate Character Set Handling Scheme ,01317,MSH,20,20,ID,,0356,2.15.9.20
Message Profile Identifier ,01598,MSH,21,427,EI,Y,,2.15.9.21
System Date/Time ,01172,NCK,1,26,TS,,,14.4.1.1
Notification Reference Number ,01398,NDS,1,20,NM,,,13.4.7.1
Notification Date/Time ,01399,NDS,2,26,TS,,,13.4.7.2
Notification Alert Severity ,01400,NDS,3,250,CE,,0367,13.4.7.3
Notification Code ,01401,NDS,4,250,CE,,,13.4.7.4
Set ID - NK1 ,00190,NK1,1,4,SI,,,3.4.5.1
Name ,00191,NK1,2,250,XPN,Y,,3.4.5.2
Relationship ,00192,NK1,3,250,CE,,0063,3.4.5.3
Address ,00193,NK1,4,250,XAD,Y,,3.4.5.4
Phone Number ,00194,NK1,5,250,XTN,Y,,3.4.5.5
Business Phone Number ,00195,NK1,6,250,XTN,Y,,3.4.5.6
Contact Role ,00196,NK1,7,250,CE,,0131,3.4.5.7
Start Date ,00197,NK1,8,8,DT,,,3.4.5.8
End Date ,00198,NK1,9,8,DT,,,3.4.5.9
Next of Kin / Associated Parties Job Title ,00199,NK1,10,60,ST,,,3.4.5.10
Next of Kin / Associated Parties Job Code/Class,00200,NK1,11,20,JCC,,0327,3.4.5.11
Next of Kin / Associated Parties Employee Number,00201,NK1,12,250,CX,,,3.4.5.12
Organization Name - NK1 ,00202,NK1,13,250,XON,Y,,3.4.5.13
Marital Status ,00119,NK1,14,250,CE,,0002,3.4.5.14
Administrative Sex ,00111,NK1,15,1,IS,,0001,3.4.5.15
Date/Time of Birth ,00110,NK1,16,26,TS,,,3.4.5.16
Living Dependency ,00755,NK1,17,2,IS,Y,0223,3.4.5.17
Ambulatory Status ,00145,NK1,18,2,IS,Y,0009,3.4.5.18
Citizenship ,00129,NK1,19,250,CE,Y,0171,3.4.5.19
Primary Language ,00118,NK1,20,250,CE,,0296,3.4.5.20
Living Arrangement ,00742,NK1,21,2,IS,,0220,3.4.5.21
Publicity Code ,00743,NK1,22,250,CE,,0215,3.4.5.22
Protection Indicator ,00744,NK1,23,1,ID,,0136,3.4.5.23
Student Indicator ,00745,NK1,24,2,IS,,0231,3.4.5.24
Religion ,00120,NK1,25,250,CE,,0006,3.4.5.25
Mother's Maiden Name ,00109,NK1,26,250,XPN,Y,,3.4.5.26
Nationality ,00739,NK1,27,250,CE,,0212,3.4.5.27
Ethnic Group ,00125,NK1,28,250,CE,Y,0189,3.4.5.28
Contact Reason ,00747,NK1,29,250,CE,Y,0222,3.4.5.29
Contact Person's Name ,00748,NK1,30,250,XPN,Y,,3.4.5.30
Contact Person's Telephone Number ,00749,NK1,31,250,XTN,Y,,3.4.5.31
Contact Person's Address ,00750,NK1,32,250,XAD,Y,,3.4.5.32
Next of Kin/Associated Party's Identifiers ,00751,NK1,33,250,CX,Y,,3.4.5.33
Job Status ,00752,NK1,34,2,IS,,0311,3.4.5.34
Race ,00113,NK1,35,250,CE,Y,0005,3.4.5.35
Handicap ,00753,NK1,36,2,IS,,0295,3.4.5.36
Contact Person Social Security Number ,00754,NK1,37,16,ST,,,3.4.5.37
Next of Kin Birth Place ,01905,NK1,38,250,ST,,,3.4.5.38
VIP Indicator ,00146,NK1,39,2,IS,,0099,3.4.5.39
Bed Location ,00209,NPU,1,80,PL,,,3.4.8.1
Bed Status ,00170,NPU,2,1,IS,,0116,3.4.8.2
Application Change Type ,01188,NSC,1,4,IS,,0409,14.4.2.1
Current CPU ,01189,NSC,2,30,ST,,,14.4.2.2
Current Fileserver ,01190,NSC,3,30,ST,,,14.4.2.3
Current Application ,01191,NSC,4,30,HD,,,14.4.2.4
Current Facility ,01192,NSC,5,30,HD,,,14.4.2.5
New CPU ,01193,NSC,6,30,ST,,,14.4.2.6
New Fileserver ,01194,NSC,7,30,ST,,,14.4.2.7
New Application ,01195,NSC,8,30,HD,,,14.4.2.8
New Facility ,01196,NSC,9,30,HD,,,14.4.2.9
Statistics Available ,01173,NST,1,1,ID,,0136,14.4.3.1
Source Identifier ,01174,NST,2,30,ST,,,14.4.3.2
Source Type ,01175,NST,3,3,ID,,0332,14.4.3.3
Statistics Start ,01176,NST,4,26,TS,,,14.4.3.4
Statistics End ,01177,NST,5,26,TS,,,14.4.3.5
Receive Character Count ,01178,NST,6,10,NM,,,14.4.3.6
Send Character Count ,01179,NST,7,10,NM,,,14.4.3.7
Messages Received ,01180,NST,8,10,NM,,,14.4.3.8
Messages Sent ,01181,NST,9,10,NM,,,14.4.3.9
Checksum Errors Received ,01182,NST,10,10,NM,,,14.4.3.10
Length Errors Received ,01183,NST,11,10,NM,,,14.4.3.11
Other Errors Received ,01184,NST,12,10,NM,,,14.4.3.12
Connect Timeouts ,01185,NST,13,10,NM,,,14.4.3.13
Receive Timeouts ,01186,NST,14,10,NM,,,14.4.3.14
Application control-level Errors ,01187,NST,15,10,NM,,,14.4.3.15
Set ID - NTE ,00096,NTE,1,4,SI,,,2.15.10.1
Source of Comment ,00097,NTE,2,8,ID,,0105,2.15.10.2
Comment ,00098,NTE,3,65536,FT,Y,,2.15.10.3
Comment Type ,01318,NTE,4,250,CE,,0364,2.15.10.4
Set ID - OBR ,00237,OBR,1,4,SI,,,4.5.3.1
Placer Order Number ,00216,OBR,2,22,EI,,,4.5.3.2
Filler Order Number ,00217,OBR,3,22,EI,,,4.5.3.3
Universal Service Identifier ,00238,OBR,4,250,CE,,,4.5.3.4
Priority - OBR ,00239,OBR,5,2,ID,,,4.5.3.5
Requested Date/Time ,00240,OBR,6,26,TS,,,4.5.3.6
Observation Date/Time ,00241,OBR,7,26,TS,,,4.5.3.7
Observation End Date/Time ,00242,OBR,8,26,TS,,,4.5.3.8
Collection Volume ,00243,OBR,9,20,CQ,,,4.5.3.9
Collector Identifier ,00244,OBR,10,250,XCN,Y,,4.5.3.10
Specimen Action Code ,00245,OBR,11,1,ID,,0065,4.5.3.11
Danger Code ,00246,OBR,12,250,CE,,,4.5.3.12
Relevant Clinical Information ,00247,OBR,13,300,ST,,,4.5.3.13
Specimen Received Date/Time ,00248,OBR,14,26,TS,,,4.5.3.14
Specimen Source ,00249,OBR,15,300,SPS,,,4.5.3.15
Ordering Provider ,00226,OBR,16,250,XCN,Y,,4.5.3.16
Order Callback Phone Number ,00250,OBR,17,250,XTN,Y,,4.5.3.17
Placer Field 1 ,00251,OBR,18,60,ST,,,4.5.3.18
Placer Field 2 ,00252,OBR,19,60,ST,,,4.5.3.19
Filler Field 1 ,00253,OBR,20,60,ST,,,4.5.3.20
Filler Field 2 ,00254,OBR,21,60,ST,,,4.5.3.21
Results Rpt/Status Chng - Date/Time ,00255,OBR,22,26,TS,,,4.5.3.22
Charge to Practice ,00256,OBR,23,40,MOC,,,4.5.3.23
Diagnostic Serv Sect ID ,00257,OBR,24,10,ID,,0074,4.5.3.24
Result Status ,00258,OBR,25,1,ID,,0123,4.5.3.25
Parent Result ,00259,OBR,26,400,PRL,,,4.5.3.26
Quantity/Timing ,00221,OBR,27,200,TQ,Y,,4.5.3.27
Result Copies To ,00260,OBR,28,250,XCN,Y,,4.5.3.28
Parent ,00261,OBR,29,200,EIP,,,4.5.3.29
Transportation Mode ,00262,OBR,30,20,ID,,0124,4.5.3.30
Reason for Study ,00263,OBR,31,250,CE,Y,,4.5.3.31
Principal Result Interpreter ,00264,OBR,32,200,NDL,,,4.5.3.32
Assistant Result Interpreter ,00265,OBR,33,200,NDL,Y,,4.5.3.33
Technician ,00266,OBR,34,200,NDL,Y,,4.5.3.34
Transcriptionist ,00267,OBR,35,200,NDL,Y,,4.5.3.35
Scheduled Date/Time ,00268,OBR,36,26,TS,,,4.5.3.36
Number of Sample Containers * ,01028,OBR,37,4,NM,,,4.5.3.37
Transport Logistics of Collected Sample ,01029,OBR,38,250,CE,Y,,4.5.3.38
Collector's Comment * ,01030,OBR,39,250,CE,Y,,4.5.3.39
Transport Arrangement Responsibility ,01031,OBR,40,250,CE,,,4.5.3.40
Transport Arranged ,01032,OBR,41,30,ID,,0224,4.5.3.41
Escort Required ,01033,OBR,42,1,ID,,0225,4.5.3.42
Planned Patient Transport Comment ,01034,OBR,43,250,CE,Y,,4.5.3.43
Procedure Code ,00393,OBR,44,250,CE,,0088,4.5.3.44
Procedure Code Modifier ,01316,OBR,45,250,CE,Y,0340,4.5.3.45
Placer Supplemental Service Information ,01474,OBR,46,250,CE,Y,0411,4.5.3.46
Filler Supplemental Service Information ,01475,OBR,47,250,CE,Y,0411,4.5.3.47
Medically Necessary Duplicate Procedure Reason.,01646,OBR,48,250,CWE,,0476,4.5.3.48
Result Handling ,01647,OBR,49,2,IS,,0507,4.5.3.49
Parent Universal Service Identifier ,02286,OBR,50,250,CWE,,,4.5.3.50
Set ID - OBX ,00569,OBX,1,4,SI,,,7.4.2.1
Value Type ,00570,OBX,2,2,ID,,0125,7.4.2.2
Observation Identifier ,00571,OBX,3,250,CE,,,7.4.2.3
Observation Sub-ID ,00572,OBX,4,20,ST,,,7.4.2.4
Observation Value ,00573,OBX,5,0,var,Y,,7.4.2.5.5
Units ,00574,OBX,6,250,CE,,,7.4.2.6
References Range ,00575,OBX,7,60,ST,,,7.4.2.7
Abnormal Flags ,00576,OBX,8,5,IS,Y,0078,7.4.2.8
Probability ,00577,OBX,9,5,NM,,,7.4.2.9
Nature of Abnormal Test ,00578,OBX,10,2,ID,Y,0080,7.4.2.10
Observation Result Status ,00579,OBX,11,1,ID,,0085,7.4.2.11
Effective Date of Reference Range Values ,00580,OBX,12,26,TS,,,7.4.2.12
User Defined Access Checks ,00581,OBX,13,20,ST,,,7.4.2.13
Date/Time of the Observation ,00582,OBX,14,26,TS,,,7.4.2.14
Producer's Reference ,00583,OBX,15,250,CE,,,7.4.2.15
Responsible Observer ,00584,OBX,16,250,XCN,Y,,7.4.2.16
Observation Method ,00936,OBX,17,250,CE,Y,,7.4.2.17
Equipment Instance Identifier ,01479,OBX,18,22,EI,Y,,7.4.2.18
Date/Time of the Analysis ,01480,OBX,19,26,TS,,,7.4.2.19
Performing Organization Name ,02283,OBX,23,567,XON,,,7.4.2.23
Performing Organization Address ,02284,OBX,24,631,XAD,,,7.4.2.24
Performing Organization Medical Director ,02285,OBX,25,3002,XCN,,,7.4.2.25
Type ,00269,ODS,1,1,ID,,0159,4.8.1.1
Service Period ,00270,ODS,2,250,CE,Y,,4.8.1.2
"Diet, Supplement, or Preference Code ",00271,ODS,3,250,CE,Y,,4.8.1.3
Text Instruction ,00272,ODS,4,80,ST,Y,,4.8.1.4
Tray Type ,00273,ODT,1,250,CE,,0160,4.8.2.1
Service Period ,00270,ODT,2,250,CE,Y,,4.8.2.2
Text Instruction,00272,ODT,3,80,ST,,,4.8.2.3
Sequence Number - Test/Observation Master File,00586,OM1,1,4,NM,,,8.8.8.1
Producer's Service/Test/Observation ID ,00587,OM1,2,250,CE,,9999,8.8.8.2
Permitted Data Types ,00588,OM1,3,12,ID,Y,0125,8.8.8.3
Specimen Required ,00589,OM1,4,1,ID,,0136,8.8.8.4
Producer ID ,00590,OM1,5,250,CE,,9999,8.8.8.5
Observation Description ,00591,OM1,6,200,TX,,,8.8.8.6
Other Service/Test/Observation IDs for the Observation,00592,OM1,7,250,CE,,9999,8.8.8.7
Other Names ,00593,OM1,8,200,ST,Y,,8.8.8.8
Preferred Report Name for the Observation ,00594,OM1,9,30,ST,,,8.8.8.9
Preferred Short Name or Mnemonic for Observation,00595,OM1,10,8,ST,,,8.8.8.10
Preferred Long Name for the Observation ,00596,OM1,11,200,ST,,,8.8.8.11
Orderability ,00597,OM1,12,1,ID,,0136,8.8.8.12
Identity of Instrument Used to Perform this Study,00598,OM1,13,250,CE,Y,9999,8.8.8.13
Coded Representation of Method ,00599,OM1,14,250,CE,Y,9999,8.8.8.14
Portable Device Indicator ,00600,OM1,15,1,ID,,0136,8.8.8.15
Observation Producing Department/Section ,00601,OM1,16,250,CE,Y,9999,8.8.8.16
Telephone Number of Section ,00602,OM1,17,250,XTN,,,8.8.8.17
Nature of Service/Test/Observation ,00603,OM1,18,1,IS,,0174,8.8.8.18
Report Subheader ,00604,OM1,19,250,CE,,9999,8.8.8.19
Report Display Order ,00605,OM1,20,20,ST,,,8.8.8.20
Date/Time Stamp for any change in Definition for the Observation,00606,OM1,21,26,TS,,,8.8.8.21
Effective Date/Time of Change ,00607,OM1,22,26,TS,,,8.8.8.22
Typical Turn-Around Time ,00608,OM1,23,20,NM,,,8.8.8.23
Processing Time ,00609,OM1,24,20,NM,,,8.8.8.24
Processing Priority ,00610,OM1,25,40,ID,Y,0168,8.8.8.25
Reporting Priority ,00611,OM1,26,5,ID,,0169,8.8.8.26
Outside Site(s) Where Observation may be Performed,00612,OM1,27,250,CE,Y,9999,8.8.8.27
Address of Outside Site(s) ,00613,OM1,28,250,XAD,Y,,8.8.8.28
Phone Number of Outside Site ,00614,OM1,29,250,XTN,,,8.8.8.29
Confidentiality Code ,00615,OM1,30,250,CWE,,0177,8.8.8.30
Observations Required to Interpret the Observation,00616,OM1,31,250,CE,,9999,8.8.8.31
Interpretation of Observations ,00617,OM1,32,65536,TX,,,8.8.8.32
Contraindications to Observations ,00618,OM1,33,250,CE,,9999,8.8.8.33
Reflex Tests/Observations ,00619,OM1,34,250,CE,Y,9999,8.8.8.34
Rules that Trigger Reflex Testing ,00620,OM1,35,80,TX,,,8.8.8.35
Fixed Canned Message ,00621,OM1,36,250,CE,,9999,8.8.8.36
Patient Preparation ,00622,OM1,37,200,TX,,,8.8.8.37
Procedure Medication ,00623,OM1,38,250,CE,,9999,8.8.8.38
Factors that may Affect the Observation ,00624,OM1,39,200,TX,,,8.8.8.39
Service/Test/Observation Performance Schedule,00625,OM1,40,60,ST,Y,,8.8.8.40
Description of Test Methods ,00626,OM1,41,65536,TX,,,8.8.8.41
Kind of Quantity Observed ,00937,OM1,42,250,CE,,0254,8.8.8.42
Point Versus Interval ,00938,OM1,43,250,CE,,0255,8.8.8.43
Challenge Information ,00939,OM1,44,200,TX,,0256,8.8.8.44
Relationship Modifier ,00940,OM1,45,250,CE,,0258,8.8.8.45
Target Anatomic Site Of Test ,00941,OM1,46,250,CE,,9999,8.8.8.46
Modality Of Imaging Measurement ,00942,OM1,47,250,CE,,0259,8.8.8.47
Sequence Number - Test/Observation Master File,00586,OM2,1,4,NM,,,8.8.9.1
Units of Measure ,00627,OM2,2,250,CE,,9999,8.8.9.2
Range of Decimal Precision ,00628,OM2,3,10,NM,Y,,8.8.9.3
Corresponding SI Units of Measure ,00629,OM2,4,250,CE,,9999,8.8.9.4
SI Conversion Factor ,00630,OM2,5,60,TX,,,8.8.9.5
Reference (Normal) Range - Ordinal and Continuous Observations,00631,OM2,6,250,RFR,Y,,8.8.9.6
Critical Range for Ordinal and Continuous Observations,00632,OM2,7,205,RFR,Y,,8.8.9.7
Absolute Range for Ordinal and Continuous Observations ,00633,OM2,8,250,RFR,,,8.8.9.8
Delta Check Criteria ,00634,OM2,9,250,DLT,Y,,8.8.9.9
Minimum Meaningful Increments ,00635,OM2,10,20,NM,,,8.8.9.10
Sequence Number - Test/Observation Master File,00586,OM3,1,4,NM,,,8.8.10.1
Preferred Coding System ,00636,OM3,2,250,CE,,9999,8.8.10.2
"Valid Coded ""Answers"" ",00637,OM3,3,250,CE,,9999,8.8.10.3
Normal Text/Codes for Categorical Observations,00638,OM3,4,250,CE,Y,9999,8.8.10.4
Abnormal Text/Codes for Categorical Observations ,00639,OM3,5,250,CE,Y,9999,8.8.10.5
Critical Text/Codes for Categorical Observations,00640,OM3,6,250,CE,Y,9999,8.8.10.6
Value Type ,00570,OM3,7,2,ID,,0125,8.8.10.7
Sequence Number - Test/Observation Master File,00586,OM4,1,4,NM,,,8.8.11.1
Derived Specimen ,00642,OM4,2,1,ID,,0170,8.8.11.2
Container Description ,00643,OM4,3,60,TX,,,8.8.11.3
Container Volume ,00644,OM4,4,20,NM,,,8.8.11.4
Container Units ,00645,OM4,5,250,CE,,9999,8.8.11.5
Specimen ,00646,OM4,6,250,CE,,9999,8.8.11.6
Additive ,00647,OM4,7,250,CWE,,0371,8.8.11.7
Preparation ,00648,OM4,8,10240,TX,,,8.8.11.8
Special Handling Requirements ,00649,OM4,9,10240,TX,,,8.8.11.9
Normal Collection Volume ,00650,OM4,10,20,CQ,,,8.8.11.10
Minimum Collection Volume ,00651,OM4,11,20,CQ,,,8.8.11.11
Specimen Requirements ,00652,OM4,12,10240,TX,,,8.8.11.12
Specimen Priorities ,00653,OM4,13,1,ID,Y,0027,8.8.11.13
Specimen Retention Time ,00654,OM4,14,20,CQ,,,8.8.11.14
Sequence Number - Test/Observation Master File,00586,OM5,1,4,NM,,,8.8.12.1
Test/Observations Included within an Ordered Test Battery,00655,OM5,2,250,CE,Y,9999,8.8.12.2
Observation ID Suffixes ,00656,OM5,3,250,ST,,,8.8.12.3
Sequence Number - Test/Observation Master File,00586,OM6,1,4,NM,,,8.8.13.1
Derivation Rule ,00657,OM6,2,10240,TX,,,8.8.13.2
Sequence Number - Test/Observation Master File,00586,OM7,1,4,NM,,,8.8.14.1
Universal Service Identifier ,00238,OM7,2,250,CE,,,8.8.14.2
Category Identifier ,01481,OM7,3,250,CE,Y,0412,8.8.14.3
Category Description ,01482,OM7,4,200,TX,,,8.8.14.4
Category Synonym ,01483,OM7,5,200,ST,Y,,8.8.14.5
Effective Test/Service Start Date/Time ,01484,OM7,6,26,TS,,,8.8.14.6
Effective Test/Service End Date/Time ,01485,OM7,7,26,TS,,,8.8.14.7
Test/Service Default Duration Quantity ,01486,OM7,8,5,NM,,,8.8.14.8
Test/Service Default Duration Units ,01487,OM7,9,250,CE,,9999,8.8.14.9
Test/Service Default Frequency ,01488,OM7,10,60,IS,,0335,8.8.14.10
Consent Indicator ,01489,OM7,11,1,ID,,0136,8.8.14.11
Consent Identifier ,01490,OM7,12,250,CE,,0413,8.8.14.12
Consent Effective Start Date/Time ,01491,OM7,13,26,TS,,,8.8.14.13
Consent Effective End Date/Time ,01492,OM7,14,26,TS,,,8.8.14.14
Consent Interval Quantity ,01493,OM7,15,5,NM,,,8.8.14.15
Consent Interval Units ,01494,OM7,16,250,CE,,0414,8.8.14.16
Consent Waiting Period Quantity ,01495,OM7,17,5,NM,,,8.8.14.17
Consent Waiting Period Units ,01496,OM7,18,250,CE,,0414,8.8.14.18
Effective Date/Time of Change ,00607,OM7,19,26,TS,,,8.8.14.19
Entered By ,00224,OM7,20,250,XCN,,,8.8.14.20
Orderable-at Location ,01497,OM7,21,200,PL,Y,,8.8.14.21
Formulary Status ,01498,OM7,22,1,IS,,0473,8.8.14.22
Special Order Indicator ,01499,OM7,23,1,ID,,0136,8.8.14.23
Primary Key Value - CDM ,01306,OM7,24,250,CE,Y,0132,8.8.14.24
Order Control ,00215,ORC,1,2,ID,,0119,4.5.1.1
Placer Order Number ,00216,ORC,2,22,EI,,,4.5.1.2
Filler Order Number ,00217,ORC,3,22,EI,,,4.5.1.3
Placer Group Number ,00218,ORC,4,22,EI,,,4.5.1.4
Order Status ,00219,ORC,5,2,ID,,0038,4.5.1.5
Response Flag ,00220,ORC,6,1,ID,,0121,4.5.1.6
Quantity/Timing ,00221,ORC,7,200,TQ,Y,,4.5.1.7
Parent ,00222,ORC,8,200,EIP,,,4.5.1.8
Date/Time of Transaction ,00223,ORC,9,26,TS,,,4.5.1.9
Entered By ,00224,ORC,10,250,XCN,Y,,4.5.1.10
Verified By ,00225,ORC,11,250,XCN,Y,,4.5.1.11
Ordering Provider ,00226,ORC,12,250,XCN,Y,,4.5.1.12
Enterer's Location ,00227,ORC,13,80,PL,,,4.5.1.13
Call Back Phone Number ,00228,ORC,14,250,XTN,Y,,4.5.1.14
Order Effective Date/Time ,00229,ORC,15,26,TS,,,4.5.1.15
Order Control Code Reason ,00230,ORC,16,250,CE,,,4.5.1.16
Entering Organization ,00231,ORC,17,250,CE,,,4.5.1.17
Entering Device ,00232,ORC,18,250,CE,,,4.5.1.18
Action By ,00233,ORC,19,250,XCN,Y,,4.5.1.19
Advanced Beneficiary Notice Code ,01310,ORC,20,250,CE,,0339,4.5.1.20
Ordering Facility Name ,01311,ORC,21,250,XON,Y,,4.5.1.21
Ordering Facility Address ,01312,ORC,22,250,XAD,Y,,4.5.1.22
Ordering Facility Phone Number ,01313,ORC,23,250,XTN,Y,,4.5.1.23
